标题,热搜指数
完整准确全面贯彻新时代党的治疆方略,7904085
海滩退潮遍地生蚝 市民捡到手软,7809384
北京大学教授俞孔坚在巴西坠机遇难,7713590
从两种精神看新疆70年巨变,7617500
台风“桦加沙”在广东阳江登陆,7519685
女生住60层以上遇台风 半夜被晃醒,7425046
中方回应石破茂联大演讲,7331023
美主播：要么退出联合国要么炸了它,7238598
胖东来面试30名刑释人员：全部录用,7143154
天山焕新颜 丝路著华章,7048092
汽车门把手国标要来了：禁止全隐藏式,6952226
台风来袭记住“十要十不要”,6847761
中国每4个成年人就有1名高血压患者,6755102
台风过后广州奶茶店外卖“爆单”,6665137
张雪峰多个平台账号被禁止关注,6572368
绍兴地铁被曝撞上保洁员致多人伤亡,6467951
张雪峰工作室：正在反省,6368620
台风致澳门海水倒灌 居民上街抓鱼,6284870
网红“敖其尔”因病逝世 年仅36岁,6184781
男子被困深圳酒店72层 看到风雨逼近,6091975
美股开盘：百度涨超3% 阿里涨超8%,5984155
验蟹师年收入10万至30万元,5888503
桦加沙登陆现场：巨浪翻涌风声大作,5810647
黑熊披袈裟站着走是人扮的？景区回应,5702303
台湾87岁老人在家中淹死 女儿泪崩,5607629
广州塔“定塔神器”出现明显摆动,5525774
桦加沙狂袭阳江 湖面翻腾树木狂舞,5423582
桦加沙登陆阳江 台风眼画面曝光,5323869
台风桦加沙风力“爆表”破纪录,5234711
全球仍有31亿人用不起智能手机上网,5127824
江苏省教育厅：必要时可停课停学,5030864
珠海海水倒灌流入地下车库,4945973
泽连斯基：特朗普现在更信任我了,4831318
湖北一身家千万老板钓鱼时落水失踪,4754615
桦加沙会影响国庆长假吗？专家回应,4648325
女孩殒命巴厘岛 幸存者回忆中毒疑云,4561873
桦加沙登陆地为何多次调整？解读来了,4471090
广东江门：全市交通信号灯亮红灯,4374152
受桦加沙影响 广东多地出现海水倒灌,4272752
陪爬泰山男演员回应转行种地,4158006
瑞幸苹果拿铁文案为什么“翻车”,4069259
美国偏袒以色列 马克龙喊话特朗普,3990096
莫言：AI创作的文章毫无情感和思想,3886729
广州：18时起终止全市“五停”措施,3786387
今年最强台风桦加沙有多恐怖,3705501
深圳：全市解除“五停”措施,3611177
吉利星座完成一期组网,3499036
泽连斯基：愿与普京在除莫斯科外会晤,3405816
评论员：台军那些破烂飞机不堪一击,3324277
福建舰的“号外”出现在王伟墓前,3208543
哈总统称愿为俄乌谈判提供场地,3120069
